VA,Len,Sec,FileBytes,EphLive,IoLive,Class
0x004011D2,3,.text,00c01f,565555,545555,differ
0x004011EF,3,.text,00c01f,565555,545555,differ
0x004013A7,3,.text,00c01f,565555,545555,differ
0x00401843,4,.text,892c2c00,792eb752,99f80e6f,differ
0x00401E3E,15,.text,8b5b0883c301538bce52e8b7070000,e9ad27b75290909090909090909090,00000000000000000000000000,differ
0x0040216D,4,.text,5f232c00,4f25b752,6fef0e6f,differ
0x004046A6,4,.text,26f93500,5680b552,,eph_only
0x004046B6,4,.text,4ef63500,6682b552,,eph_only
0x00408C87,6,.text,890d18ada300,e96434b55290,,eph_only
0x00409324,1,.text,34,70,,eph_only
0x0040932E,1,.text,34,70,,eph_only
0x0040934C,3,.text,008096,abaac8,,eph_only
0x00409370,1,.text,34,70,,eph_only
0x0040937A,1,.text,34,70,,eph_only
0x00409398,3,.text,008096,abaac8,,eph_only
0x004093B0,3,.text,000048,565585,,eph_only
0x004093C8,3,.text,000048,565585,,eph_only
0x00409F4B,3,.text,000020,565555,545555,differ
0x0040A02B,3,.text,000020,565555,545555,differ
0x0040A04B,3,.text,000020,565555,545555,differ
0x0040C445,3,.text,000020,565555,545555,differ
0x0040C469,3,.text,000020,565555,545555,differ
0x0040C48B,3,.text,000020,565555,545555,differ
0x0040CA07,3,.text,000054,56558d,,eph_only
0x0040CA40,3,.text,000054,56558d,,eph_only
0x0040CA66,3,.text,000065,abaa98,,eph_only
0x0040CA8C,3,.text,000065,abaa98,,eph_only
0x0040CAE2,4,.text,0080cc43,56550844,,eph_only
0x0040CB1E,4,.text,0080cc43,56550844,,eph_only
0x0040CB46,2,.text,d543,0e44,,eph_only
0x0040CB6C,2,.text,d543,0e44,,eph_only
0x0040D033,3,.text,80de43,507a44,,eph_only
0x0040D03A,2,.text,000c,809d,,eph_only
0x0040D04E,4,.text,d4a18f00,80e93353,,eph_only
0x0040D1DD,1,.text,00,02,,eph_only
0x0040D1DF,2,.text,0041,8143,,eph_only
0x0040D305,11,.text,c78431a000000000000000,9090909090909090909090,,eph_only
0x0040E711,1,.text,e8,e9,,eph_only
0x0040E713,3,.text,da3900,58b652,,eph_only
0x0040E759,5,.text,e8f2d93900,e91258b652,,eph_only
0x0040FFE2,4,.text,a6d53000,5a63b652,,eph_only
0x00410002,4,.text,86d53000,3a63b652,,eph_only
0x00410022,4,.text,66d53000,1a63b652,,eph_only
0x004100EA,4,.text,9ed43000,5262b652,,eph_only
0x00410105,4,.text,83d43000,3762b652,,eph_only
0x00410123,4,.text,65d43000,1962b652,,eph_only
0x0041061C,4,.text,0000d843,56552144,,eph_only
0x00410632,4,.text,0000d843,56552144,,eph_only
0x0041066B,4,.text,0000d843,56552144,,eph_only
0x00412661,5,.text,e802f4ffff,e91a17b652,,eph_only
0x004126A7,5,.text,e8e0f3ffff,e9c416b652,,eph_only
0x004137D0,3,.text,008095,56d5ca,,eph_only
0x00413B7F,5,.text,5fc3909090,e9bc0bb652,e99cd40d6f,differ
0x00413C38,6,.text,8b57288b6a44,e8e30ab65290,e8e3d40d6f90,differ
0x00413CD8,6,.text,8b57288b4244,e8230ab65290,e823d40d6f90,differ
0x00413CF1,4,.text,8bdd2a00,eb09b652,cbd30d6f,differ
0x00415AA2,4,.text,8e4e4000,1a4ab352,,eph_only
0x0041EE81,3,.text,20d7aa,581de3,,eph_only
0x0042095B,7,.text,66898634030000,e8a06bb4529090,,eph_only
0x00423C96,7,.text,6689be34030000,e86539b4529090,,eph_only
0x00423D18,7,.text,6689be34030000,e8e338b4529090,,eph_only
0x00423D95,7,.text,6689be34030000,e86638b4529090,,eph_only
0x00423EBF,7,.text,6689be34030000,e83c37b4529090,,eph_only
0x0042B56F,26,.text,8b42186a448986b40600008986b00600008b4a20898eb8060000,e91cccb352909090909090909090909090909090909090909090,,eph_only
